Last 4 Card Digits,Recency,Frequency,Monetary,Cluster,Segment,Churn
5359.0,49,1,182.32999999999998,1,New,0
5367.0,65,1,49.11,0,Lost,1
5370.0,66,2,106.97,0,Lost,1
5373.0,43,1,146.44,1,New,0
5377.0,70,1,80.71,0,Lost,1
5382.0,16,1,133.28,1,New,0
5385.0,41,1,0.0,1,New,0
5391.0,31,1,73.18,1,New,0
5401.0,26,1,74.27,1,New,0
5402.0,89,1,142.05,0,Lost,1
5403.0,34,1,126.56,1,New,0
5418.0,48,2,262.71999999999997,1,New,0
5422.0,75,1,62.239999999999995,0,Lost,1
5427.0,69,1,131.04,0,Lost,1
5434.0,58,1,58.959999999999994,1,New,0
