Last 4 Card Digits,Recency,Frequency,Monetary,Unique_Items,Avg_Order_Val,Avg_Tip,Discount_Used,Visits_Nov,Visits_Dec,Visits_Jan,Days_Since_First,Segment,Segment_Code,Churn,Churn_Probability,Risk_Level,Tier
9035.0,11,1,26.25,1,26.25,5.25,0,0,0,1,11,New,1,1,0.3,Low,Rule-Based
9038.0,13,1,24.08,1,12.04,10.0,0,0,0,2,13,New,1,1,0.3,Low,Rule-Based
9065.0,3,1,67.72,4,16.93,22.0,0,0,0,4,3,New,1,0,0.3,Low,Rule-Based
9074.0,43,1,51.36,3,17.12,10.27,0,0,3,0,43,Lost,3,1,0.92,High,Rule-Based
9095.0,11,1,0.0,1,0.0,0.0,0,0,0,1,11,New,1,1,0.3,Low,Rule-Based
9109.0,4,1,161.64,4,20.205,35.06,0,0,0,8,4,New,1,1,0.3,Low,Rule-Based
9114.0,35,1,237.37,4,39.56166666666667,24.51,0,0,6,0,35,Lost,3,1,0.92,High,Rule-Based
9127.0,81,1,26.25,1,26.25,7.44,0,1,0,0,81,New,1,0,0.92,High,Rule-Based
9128.0,25,1,16.41,1,16.41,0.0,0,0,0,1,25,New,1,1,0.65,Medium,Rule-Based
9130.0,18,1,52.5,2,26.25,10.0,0,0,0,2,18,New,1,1,0.65,Medium,Rule-Based
9136.0,12,1,73.17,4,18.2925,23.2,0,0,0,4,12,New,1,1,0.3,Low,Rule-Based
9145.0,53,1,252.03,5,16.802,18.81,0,0,15,0,53,Lost,3,1,0.92,High,Rule-Based
9152.0,46,1,108.17,4,21.634,9.41,5,0,5,0,46,Lost,3,1,0.92,High,Rule-Based
9183.0,48,1,44.86,2,14.953333333333333,2.9,0,0,3,0,48,Lost,3,1,0.92,High,Rule-Based
9184.0,39,1,26.24,2,13.12,10.0,0,0,2,0,39,Lost,3,1,0.92,High,Rule-Based
9185.0,60,1,475.16999999999996,15,23.758499999999998,6.0,0,0,20,0,60,Lost,3,1,0.92,High,Rule-Based
9193.0,31,1,71.03999999999999,3,23.679999999999996,18.0,0,0,3,0,31,Lost,3,1,0.92,High,Rule-Based
9197.0,60,1,176.0,10,17.6,10.0,0,0,10,0,60,Lost,3,1,0.92,High,Rule-Based
9198.0,79,1,38.230000000000004,2,19.115000000000002,5.46,0,2,0,0,79,Lost,3,1,0.92,High,Rule-Based
9206.0,46,1,103.77,3,25.9425,18.68,0,0,4,0,46,Lost,3,1,0.92,High,Rule-Based
9213.0,17,1,25.11,2,12.555,4.59,0,0,0,2,17,New,1,0,0.65,Medium,Rule-Based
9224.0,4,1,139.9,3,23.316666666666666,5.04,0,0,0,6,4,New,1,1,0.3,Low,Rule-Based
9239.0,6,1,66.63,4,9.518571428571429,0.0,0,0,0,7,6,New,1,1,0.3,Low,Rule-Based
9261.0,25,1,9.81,1,9.81,0.0,1,0,0,1,25,New,1,1,0.65,Medium,Rule-Based
9265.0,39,1,18.54,1,18.54,3.0,0,0,1,0,39,New,1,0,0.92,High,Rule-Based
9270.0,87,1,18.54,1,18.54,5.25,0,1,0,0,87,Lost,3,1,0.92,High,Rule-Based
9287.0,85,1,50.24,2,16.746666666666666,0.0,0,3,0,0,85,Lost,3,1,0.92,High,Rule-Based
9292.0,52,1,39.32,2,19.66,10.0,0,0,2,0,52,Lost,3,1,0.92,High,Rule-Based
9310.0,51,1,16.38,3,5.46,4.7,0,0,3,0,51,Lost,3,1,0.92,High,Rule-Based
9316.0,87,1,30.51,1,30.51,5.02,0,1,0,0,87,Lost,3,1,0.92,High,Rule-Based
9321.0,17,1,22.96,2,11.48,6.5,0,0,0,2,17,New,1,1,0.65,Medium,Rule-Based
9324.0,49,1,117.97,5,23.594,15.15,0,0,5,0,49,Lost,3,1,0.92,High,Rule-Based
9327.0,60,1,388.90999999999997,12,24.306874999999998,0.0,0,0,16,0,60,Lost,3,1,0.92,High,Rule-Based
9340.0,87,1,226.34,4,56.585,25.0,0,4,0,0,87,Lost,3,1,0.92,High,Rule-Based
9346.0,81,1,491.02,19,20.459166666666665,0.0,0,24,0,0,81,Lost,3,1,0.92,High,Rule-Based
9352.0,75,1,30.64,1,15.32,6.13,0,2,0,0,75,Lost,3,1,0.92,High,Rule-Based
9354.0,48,1,36.04,2,18.02,0.0,0,0,2,0,48,Lost,3,1,0.92,High,Rule-Based
9355.0,31,1,17.5,1,17.5,22.71,0,0,1,0,31,Lost,3,1,0.92,High,Rule-Based
